s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s14	1	1	1	1	1	1	1	1	1	1	1	1	1	32.27	2.375e-05	4.123e-286	68.77	8.93399999999999e-262	11.43	3.482e-222	13	0	5.061	0	0.0001794	7.103e-213	1.047e-07	6.428e-15	1.552e-07	2.99e-08	3.761e-17	1.117e-24	3.215e-31	4.58e-21	8.753e-38	1.848e-17	4.05e-20	1.48e-23	1.787e-10	1.964e-19	4.771e-22	1.611e-27	5.291e-20	3.447e-16	1.318e-32	5.015e-32	3.842e-28	9.561e-17	1.812e-22	2.602e-14
s15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.52	6.212e-216	5.208e-06	5.736e-210	0.008714	8.78e-176	0.03621	0	0.2347	0	0.2869	1.567e-163	1.933e-07	2.75e-07	1.653e-06	9.259e-06	3.277e-05	2.226e-15	6.499e-16	6.224e-09	2.494e-18	1.058e-06	1.35e-11	2.193e-09	5.559e-05	9.64e-08	1.992e-05	3.507e-13	5.961e-12	1.779e-06	4.154e-15	5.659e-15	1.037e-11	1.683e-06	0.0003163	2.874e-05
s16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00754	1.059e-296	5.074e-42	1.788e-284	7.824e-22	2.237e-263	1.464e-189	4.733e-258	2.268e-186	8.897e-201	5.046e-17	2.461e-171	1.822e-127	1.738e-167	5.034e-169	7.947e-130	7.236e-105	1.803e-80	9.81e-112	2.164e-83	6.627e-127	4.273e-110	2.375e-107	2.746e-151	1.205e-115	7.453e-123	3.112e-102	7.637e-111	8.221e-130	8.269e-86	1.338e-84	6.824e-96	6.988e-125	4.951e-136	5.971e-134
s17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.1	8.124e-269	10.69	1.184e-228	6.226	0	2.492	0	1.513e-05	5.067e-219	4.879e-09	9.726e-17	8.228e-09	1.127e-09	4.985e-19	4.408e-27	7.401e-34	3.075e-23	1.14e-40	1.861e-19	2.908e-22	8.434e-26	4.262e-12	1.645e-21	7.336e-24	4.659e-30	3.899e-22	4.027e-18	3.035e-35	1.206e-34	1.502e-30	1.158e-18	5.283e-24	4.049e-16
s18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	171.8	6.542e-259	64.93	1.489e-245	8.101e-160	5.755e-241	4.346e-160	9.917e-202	0.9888	3.515e-186	1.105e-151	1.242e-182	3.809e-183	8.739e-152	1.386e-135	3.197e-114	7.742e-139	1.803e-114	3.938e-150	2.646e-139	6.02e-135	1.732e-169	9.53e-142	3.998e-145	8.862e-131	3.876e-140	1.655e-152	1.36e-117	5.364e-117	3.563e-125	6.159e-148	1.487e-154	9.433e-156
s19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.22	4.522e-220	18.76	0	21.12	0	0.0003077	1.303e-208	1.035e-09	2.505e-15	3.369e-09	1.964e-09	1.015e-15	5.073e-26	1.097e-30	2.05e-20	3.819e-36	8.453e-17	4.193e-21	3.025e-22	5.436e-11	1.043e-18	8.878e-19	6.553e-27	3.551e-21	8.035e-16	4.33e-31	1.24e-30	1.78e-26	3.115e-16	9.598e-18	6.487e-14
s20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	162.7	1.13e-207	8.618e-158	1.308e-203	5.109e-156	1.103e-166	24.49	3.639e-153	9.085e-123	4.237e-150	1.1e-150	1.775e-123	4.634e-108	6.518e-90	9.437e-112	7.628e-90	8.448e-122	1.052e-111	1.568e-108	1.024e-138	2.685e-114	3.635e-118	7.225e-104	1.949e-112	8.587e-124	4.982e-93	1.092e-92	1.205e-99	1.669e-119	3.921e-127	1.24e-126
s21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.9	0	46.07	0	0.02231	2.213e-197	4.829e-06	4.006e-11	1.104e-05	8.568e-06	6.141e-12	3.004e-20	4.032e-25	8.599e-16	2.851e-30	1.44e-12	4.536e-16	1.221e-17	2.608e-07	2.226e-14	1.648e-15	1.655e-21	4.447e-16	1.227e-11	1.081e-25	3.168e-25	1.024e-21	2.794e-12	1.827e-15	4.329e-10
s22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.55	0	15.98	0	3.779e-152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.91	0	0.06623	9.29e-193	2.991e-06	1.08e-10	6.798e-06	8.437e-06	6.125e-11	9.513e-20	6.524e-24	7.455e-15	1.116e-28	1.033e-11	1.442e-15	1.79e-16	6.279e-07	1.966e-13	4.933e-14	2.08e-20	1.213e-15	6.57e-11	2.886e-24	7.573e-24	2.631e-20	1.982e-11	1.272e-13	2.24e-09
s24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4405	0	5.871e-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
