s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50
s15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.35	1.864e-216	4.917e-06	4.887e-208	0.01181	2.445e-174	0.04127	0	0.287	0	0.267	3.958e-163	5.379e-07	2.894e-07	3.881e-06	1.279e-05	4.424e-05	4.25e-15	5.856e-16	7.232e-09	2.901e-18	1.293e-06	1.867e-11	2.987e-09	5.698e-05	1.147e-07	2.072e-05	3.356e-13	9.602e-12	1.983e-06	5.139e-15	6.932e-15	1.397e-11	1.837e-06	0.0008697	3.162e-05
s16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004652	3.64e-297	1.602e-41	5.723e-285	1.235e-21	6.882e-264	9.037e-190	1.39e-258	1.201e-186	2.669e-201	3.456e-17	2.174e-171	1.147e-127	1.434e-167	3.147e-169	2.965e-130	1.101e-104	1.519e-80	5.752e-112	1.58e-83	3.291e-127	4.416e-110	1.247e-107	1.348e-151	6.448e-116	2.968e-123	2.353e-102	8.758e-111	4.167e-130	5.6e-86	9.252e-85	3.687e-96	3.351e-125	1.407e-135	2.746e-134
s17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.16	8.96299999999999e-267	11.23	3.638e-227	6.256	0	2.445	0	1.386e-05	1.58e-218	9.908e-09	1.108e-16	1.556e-08	1.597e-09	4.96e-19	6.034e-27	7.105e-34	3.419e-23	1.149e-40	2.064e-19	3.745e-22	9.265e-26	4.775e-12	1.822e-21	9.381e-24	4.745e-30	5.421e-22	4.417e-18	3.211e-35	1.28e-34	1.599e-30	1.234e-18	4.201e-23	4.348e-16
s18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6488	6.074e-257	2197	1.337e-243	6.796e-158	4.879e-239	3.64e-158	7.596e-200	23.74	8.771e-184	8.044e-150	2.67e-180	4.649e-181	7.534e-150	1.174e-133	1.292e-112	5.319e-137	1.055e-112	3.041e-148	2.018e-137	4.977e-133	1.388e-167	6.955e-140	5.087e-143	4.24e-129	3.426e-138	1.198e-150	8.99e-116	3.476e-115	2.85e-123	4.428e-146	1.406e-151	6.995e-154
s19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.83	1.332e-218	17.79	0	19.34	0	0.0002741	3.075e-208	2.428e-09	2.824e-15	7.004e-09	2.764e-09	1.188e-15	9.229e-26	1.059e-30	2.358e-20	4.193e-36	9.85e-17	6.027e-21	3.739e-22	5.858e-11	1.204e-18	1.199e-18	6.703e-27	5.764e-21	8.914e-16	5.025e-31	1.435e-30	2.159e-26	3.362e-16	3.772e-17	7.01e-14
s20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1913	3.177e-206	3.534e-156	3.527e-202	2.026e-154	2.922e-165	186.4	2.882e-151	3.424e-121	3.066e-148	5.527e-149	5.589e-122	2.901e-106	1.464e-88	3.048e-110	2.061e-88	2.836e-120	5.037e-110	5.378e-107	3.688e-137	8.858e-113	1.445e-116	1.88e-102	1.094e-110	2.833e-122	1.489e-91	3.23e-91	4.013e-98	5.401e-118	1.129e-124	4.035e-125
s21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.67	0	40.64	0	0.01925	5.038e-197	1.02e-05	4.415e-11	2.123e-05	1.193e-05	6.377e-12	4.683e-20	3.599e-25	9.187e-16	2.714e-30	1.562e-12	6.033e-16	1.334e-17	2.805e-07	2.391e-14	2.153e-15	1.583e-21	6.551e-16	1.296e-11	1.094e-25	3.207e-25	1.08e-21	2.874e-12	9.604e-15	4.481e-10
s22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.94	0	13.77	0	4.175e-152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.31	0	0.05597	1.986e-192	6.384e-06	1.13e-10	1.297e-05	1.122e-05	6.484e-11	1.507e-19	5.607e-24	7.767e-15	1.059e-28	1.1e-11	1.868e-15	1.969e-16	6.421e-07	2.066e-13	6.398e-14	1.911e-20	1.761e-15	6.716e-11	2.917e-24	7.638e-24	2.81e-20	1.979e-11	5.404e-13	2.245e-09
s24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.3701	0	6.032e-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
